period,history,scenario,scenarioDescription,tableId,tableName,seriesId,seriesName,regionId,regionName,value,unit,aeo_vintage
2035,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,8.462498,2008 $/mill Btu,2010
2034,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,8.352587,2008 $/mill Btu,2010
2033,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,8.168184,2008 $/mill Btu,2010
2032,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,8.136362,2008 $/mill Btu,2010
2031,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,8.024628,2008 $/mill Btu,2010
2030,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,7.726853,2008 $/mill Btu,2010
2029,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,7.509984,2008 $/mill Btu,2010
2028,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,7.274443,2008 $/mill Btu,2010
2027,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,7.048299,2008 $/mill Btu,2010
2026,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.910366,2008 $/mill Btu,2010
2025,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.753357,2008 $/mill Btu,2010
2024,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.698615,2008 $/mill Btu,2010
2023,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.742034,2008 $/mill Btu,2010
2022,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.6949,2008 $/mill Btu,2010
2021,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.515566,2008 $/mill Btu,2010
2020,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.419466,2008 $/mill Btu,2010
2019,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.285028,2008 $/mill Btu,2010
2018,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.219149,2008 $/mill Btu,2010
2017,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.172436,2008 $/mill Btu,2010
2016,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.162697,2008 $/mill Btu,2010
2015,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.077777,2008 $/mill Btu,2010
2014,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.90053,2008 $/mill Btu,2010
2013,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.940333,2008 $/mill Btu,2010
2012,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,6.170367,2008 $/mill Btu,2010
2011,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,5.821139,2008 $/mill Btu,2010
2010,PROJECTION,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.846521,2008 $/mill Btu,2010
2009,HISTORIC,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,4.135658,2008 $/mill Btu,2010
2008,HISTORIC,ref2010,Reference case,3,Energy Prices by Sector and Source,prce_ene_elep_NA_ng_NA_NA_y08dlrpmmbtu,Energy Prices: Electric Power: Natural Gas,1-0,United States,9.094496,2008 $/mill Btu,2010
