"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2011&sourcekey=0"
"Thu May 14 2026 22:13:08 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2009-2035)"
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Residential: Liquefied Petroleum Gases",,"2009 $/mill Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Energy Prices: Residential: Liquefied Petroleum Gases": Reference case,,"2009 $/mill Btu",29.455578,24.633764,26.48888,26.71574,28.499981,28.961884,29.421991,29.785646,30.221584,30.768587,31.286221,31.778391,32.214424,32.623386,32.9678,33.312042,33.614788,33.902111,34.170998,34.390087,34.580215,34.745659,34.873631,34.949287,34.972816,34.99218,34.998505,35.006248,"1.4%"
Early release reference,"Energy Prices: Residential: Liquefied Petroleum Gases": Early release reference,,"2009 $/mill Btu",29.455578,24.633764,26.48888,26.715723,28.49654,28.950981,29.451094,29.802053,30.240206,30.788939,31.295679,31.768934,32.211308,32.620758,32.976074,33.315014,33.640244,33.917446,34.146988,34.385857,34.55751,34.702351,34.856529,34.953674,34.979404,35.009296,35.015297,35.04599,"1.4%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil",,"2009 $/mill Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,,"2009 $/mill Btu",24.746941,18.123217,20.684542,21.673632,19.931181,20.303581,20.72139,21.135294,21.981268,22.695204,23.340752,23.929081,24.272821,24.559692,24.983791,25.197809,25.703732,25.91777,26.156906,26.461294,26.674175,26.969713,26.934847,27.036058,27.132803,27.188021,27.392202,27.527866,"1.6%"
Early release reference,"Energy Prices: Residential: Distillate Fuel Oil": Early release reference,,"2009 $/mill Btu",24.746941,18.123217,20.684542,21.673632,19.938332,20.40239,20.798954,21.136057,22.010168,22.692848,23.333021,23.895201,24.317917,24.513811,24.876823,25.271791,25.637285,25.96236,26.208462,26.519512,26.639784,26.92725,26.923243,27.088213,27.176888,27.277178,27.3948,27.562769,"1.6%"
Natural Gas,"Energy Prices: Residential: Natural Gas",,"2009 $/mill Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Energy Prices: Residential: Natural Gas": Reference case,,"2009 $/mill Btu",13.619575,11.883857,11.017526,10.286521,10.163101,10.114791,10.009583,10.119034,10.221657,10.32631,10.453256,10.609858,10.864073,11.081928,11.24881,11.438939,11.646492,11.834512,11.991024,12.176683,12.296362,12.401994,12.511431,12.646325,12.792186,12.979895,13.163389,13.393965,"0.5%"
Early release reference,"Energy Prices: Residential: Natural Gas": Early release reference,,"2009 $/mill Btu",13.619575,11.883857,11.144422,10.40402,10.25819,10.284888,10.242977,10.313167,10.386781,10.52996,10.659862,10.782857,10.951632,11.140241,11.329002,11.537848,11.717769,11.908084,12.07102,12.226784,12.361234,12.489634,12.627762,12.787482,12.952718,13.128147,13.316114,13.510958,"0.5%"
