"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2012&region=1-1&cases=ref2012&start=2009&end=2035&f=A&linechart=ref2012-d020112c.3-3-AEO2012.1-1~ref2012-d020112c.4-3-AEO2012.1-1~ref2012-d020112c.5-3-AEO2012.1-1~ref2012-d020112c.6-3-AEO2012.1-1~ref2012-d020112c.9-3-AEO2012.1-1~ref2012-d020112c.10-3-AEO2012.1-1~ref2012-d020112c.11-3-AEO2012.1-1~ref2012-d020112c.12-3-AEO2012.1-1~ref2012-d020112c.13-3-AEO2012.1-1~ref2012-d020112c.16-3-AEO2012.1-1~ref2012-d020112c.17-3-AEO2012.1-1~ref2012-d020112c.18-3-AEO2012.1-1~ref2012-d020112c.19-3-AEO2012.1-1~ref2012-d020112c.20-3-AEO2012.1-1~ref2012-d020112c.21-3-AEO2012.1-1~ref2012-d020112c.22-3-AEO2012.1-1~ref2012-d020112c.23-3-AEO2012.1-1~ref2012-d020112c.27-3-AEO2012.1-1~ref2012-d020112c.28-3-AEO2012.1-1~ref2012-d020112c.29-3-AEO2012.1-1~ref2012-d020112c.30-3-AEO2012.1-1~ref2012-d020112c.31-3-AEO2012.1-1~ref2012-d020112c.32-3-AEO2012.1-1~ref2012-d020112c.33-3-AEO2012.1-1~ref2012-d020112c.34-3-AEO2012.1-1~ref2012-d020112c.37-3-AEO2012.1-1~ref2012-d020112c.38-3-AEO2012.1-1~ref2012-d020112c.39-3-AEO2012.1-1~ref2012-d020112c.40-3-AEO2012.1-1~ref2012-d020112c.45-3-AEO2012.1-1~ref2012-d020112c.46-3-AEO2012.1-1~ref2012-d020112c.47-3-AEO2012.1-1~ref2012-d020112c.48-3-AEO2012.1-1~ref2012-d020112c.49-3-AEO2012.1-1~ref2012-d020112c.50-3-AEO2012.1-1~ref2012-d020112c.51-3-AEO2012.1-1~ref2012-d020112c.52-3-AEO2012.1-1~ref2012-d020112c.53-3-AEO2012.1-1~ref2012-d020112c.54-3-AEO2012.1-1~ref2012-d020112c.55-3-AEO2012.1-1~ref2012-d020112c.70-3-AEO2012.1-1~ref2012-d020112c.71-3-AEO2012.1-1~ref2012-d020112c.72-3-AEO2012.1-1~ref2012-d020112c.73-3-AEO2012.1-1~ref2012-d020112c.76-3-AEO2012.1-1~ref2012-d020112c.77-3-AEO2012.1-1~ref2012-d020112c.78-3-AEO2012.1-1~ref2012-d020112c.79-3-AEO2012.1-1~ref2012-d020112c.80-3-AEO2012.1-1~ref2012-d020112c.83-3-AEO2012.1-1~ref2012-d020112c.84-3-AEO2012.1-1~ref2012-d020112c.85-3-AEO2012.1-1~ref2012-d020112c.86-3-AEO2012.1-1~ref2012-d020112c.87-3-AEO2012.1-1~ref2012-d020112c.88-3-AEO2012.1-1~ref2012-d020112c.89-3-AEO2012.1-1~ref2012-d020112c.90-3-AEO2012.1-1~ref2012-d020112c.95-3-AEO2012.1-1~ref2012-d020112c.96-3-AEO2012.1-1~ref2012-d020112c.97-3-AEO2012.1-1~ref2012-d020112c.98-3-AEO2012.1-1~ref2012-d020112c.99-3-AEO2012.1-1~ref2012-d020112c.100-3-AEO2012.1-1~ref2012-d020112c.101-3-AEO2012.1-1~ref2012-d020112c.102-3-AEO2012.1-1~ref2012-d020112c.105-3-AEO2012.1-1~ref2012-d020112c.106-3-AEO2012.1-1~ref2012-d020112c.107-3-AEO2012.1-1~ref2012-d020112c.108-3-AEO2012.1-1~ref2012-d020112c.112-3-AEO2012.1-1~ref2012-d020112c.113-3-AEO2012.1-1~ref2012-d020112c.114-3-AEO2012.1-1~ref2012-d020112c.115-3-AEO2012.1-1~ref2012-d020112c.116-3-AEO2012.1-1~ref2012-d020112c.117-3-AEO2012.1-1~ref2012-d020112c.118-3-AEO2012.1-1~ref2012-d020112c.119-3-AEO2012.1-1~ref2012-d020112c.120-3-AEO2012.1-1~ref2012-d020112c.121-3-AEO2012.1-1~ref2012-d020112c.122-3-AEO2012.1-1&sourcekey=0"
"Wed May 27 2026 16:35:17 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Residential: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",28.93162,31.108349,33.799263,33.1651,18.487469,19.117941,19.592964,19.241962,19.475824,19.583563,19.753414,19.954348,20.200155,20.516298,20.741535,20.932756,21.133673,21.294891,21.457075,21.615435,21.875029,22.12916,22.383726,22.617275,22.843113,23.177315,23.463165,"-1.1%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",18.305079,21.115971,26.223568,26.429241,24.912237,26.355503,27.152746,27.519325,27.915661,28.193974,28.371578,28.663532,28.92132,29.118021,29.326572,29.545406,29.923111,30.195984,30.317144,30.53421,30.855211,31.218527,31.885075,32.277649,31.808393,32.078339,32.568581,"1.7%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,,"2010 $/mill Btu",14.899416,14.391101,12.999788,13.145138,12.982611,12.683276,12.867392,12.892385,12.927597,13.070716,13.208872,13.403192,13.708626,14.021168,14.230557,14.341886,14.517318,14.682105,14.793541,14.912938,15.045761,15.222818,15.437756,15.640651,15.827297,16.174133,16.479033,"0.5%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,,"2010 $/mill Btu",51.800121,47.584408,51.523239,51.805599,51.039509,49.747871,49.154907,48.620216,47.816441,47.310944,47.3158,47.457291,47.455513,47.802486,48.332184,49.09264,49.680283,50.383717,50.897732,51.583797,51.92168,52.024761,52.089355,52.373562,52.689034,53.281891,53.74308,"0.5%"
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Commercial: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",21.098831,22.81279,22.281462,21.784414,25.480421,26.110891,26.585911,26.234913,26.468775,26.576513,26.746365,26.947296,27.193106,27.509251,27.734486,27.925709,28.126623,28.287844,28.450024,28.608387,28.867981,29.122112,29.376675,29.610226,29.836063,30.170261,30.456114,"1.2%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",16.488281,20.858877,25.915054,26.103588,23.118422,24.644218,25.465073,25.838074,26.234076,26.545473,26.706688,26.979494,27.250303,27.465197,27.692354,27.932018,28.374586,28.657152,28.68644,28.918867,29.241713,29.629272,30.316656,30.780138,30.242069,30.359688,30.851751,"1.6%"
Residual Fuel,"Energy Prices: Commercial: Residual Fuel": Reference case,,"2010 $/mill Btu",13.66025,10.935056,15.425628,15.682721,14.429495,15.802555,16.824146,17.369802,17.675793,17.858282,18.088514,18.246931,18.476507,18.37307,18.544809,18.713751,18.877062,19.027746,19.169165,19.352406,19.635916,19.696501,19.872011,19.058395,18.834843,19.10256,19.542904,"2.3%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,,"2010 $/mill Btu",12.184786,11.12349,10.436727,10.514955,10.331432,10.12058,10.244999,10.213903,10.194614,10.284729,10.374875,10.523372,10.780313,11.044159,11.207058,11.273383,11.40265,11.518661,11.586146,11.659819,11.745652,11.87486,12.040798,12.193385,12.329281,12.62466,12.880859,"0.6%"
Electricity,"Energy Prices: Commercial: Electricity": Reference case,,"2010 $/mill Btu",45.144669,43.147419,39.189484,37.496857,35.499104,34.274086,33.718567,33.675419,33.312927,33.308304,33.833729,34.348045,34.659088,35.392406,35.904102,36.220028,35.777863,35.290501,34.757359,34.975266,35.041988,34.971008,34.949459,35.282192,35.753277,36.463348,37.08469,"-0.6%"
Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Industrial: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",25.418007,27.611874,29.651484,29.342974,36.600456,37.420063,38.037594,37.581295,37.885311,38.025375,38.246181,38.507393,38.826946,39.237926,39.530739,39.779324,40.040516,40.250099,40.460941,40.666805,41.00428,41.334652,41.665585,41.9692,42.262787,42.697247,43.068851,"1.8%"
