"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2013&region=1-1&cases=ref2013&start=2010&end=2040&f=A&linechart=ref2013-d102312a.3-3-AEO2013.1-1~ref2013-d102312a.4-3-AEO2013.1-1~ref2013-d102312a.5-3-AEO2013.1-1~ref2013-d102312a.6-3-AEO2013.1-1~ref2013-d102312a.9-3-AEO2013.1-1~ref2013-d102312a.10-3-AEO2013.1-1~ref2013-d102312a.11-3-AEO2013.1-1~ref2013-d102312a.12-3-AEO2013.1-1~ref2013-d102312a.13-3-AEO2013.1-1~ref2013-d102312a.16-3-AEO2013.1-1~ref2013-d102312a.17-3-AEO2013.1-1~ref2013-d102312a.18-3-AEO2013.1-1~ref2013-d102312a.19-3-AEO2013.1-1~ref2013-d102312a.20-3-AEO2013.1-1~ref2013-d102312a.21-3-AEO2013.1-1~ref2013-d102312a.22-3-AEO2013.1-1~ref2013-d102312a.23-3-AEO2013.1-1~ref2013-d102312a.27-3-AEO2013.1-1~ref2013-d102312a.28-3-AEO2013.1-1~ref2013-d102312a.29-3-AEO2013.1-1~ref2013-d102312a.30-3-AEO2013.1-1~ref2013-d102312a.31-3-AEO2013.1-1~ref2013-d102312a.32-3-AEO2013.1-1~ref2013-d102312a.33-3-AEO2013.1-1~ref2013-d102312a.34-3-AEO2013.1-1~ref2013-d102312a.37-3-AEO2013.1-1~ref2013-d102312a.38-3-AEO2013.1-1~ref2013-d102312a.39-3-AEO2013.1-1~ref2013-d102312a.40-3-AEO2013.1-1~ref2013-d102312a.45-3-AEO2013.1-1~ref2013-d102312a.46-3-AEO2013.1-1~ref2013-d102312a.47-3-AEO2013.1-1~ref2013-d102312a.48-3-AEO2013.1-1~ref2013-d102312a.49-3-AEO2013.1-1~ref2013-d102312a.50-3-AEO2013.1-1~ref2013-d102312a.51-3-AEO2013.1-1~ref2013-d102312a.52-3-AEO2013.1-1~ref2013-d102312a.53-3-AEO2013.1-1~ref2013-d102312a.54-3-AEO2013.1-1~ref2013-d102312a.55-3-AEO2013.1-1~ref2013-d102312a.70-3-AEO2013.1-1~ref2013-d102312a.71-3-AEO2013.1-1~ref2013-d102312a.72-3-AEO2013.1-1~ref2013-d102312a.73-3-AEO2013.1-1~ref2013-d102312a.76-3-AEO2013.1-1~ref2013-d102312a.77-3-AEO2013.1-1~ref2013-d102312a.78-3-AEO2013.1-1~ref2013-d102312a.79-3-AEO2013.1-1~ref2013-d102312a.80-3-AEO2013.1-1~ref2013-d102312a.83-3-AEO2013.1-1~ref2013-d102312a.84-3-AEO2013.1-1~ref2013-d102312a.85-3-AEO2013.1-1~ref2013-d102312a.86-3-AEO2013.1-1~ref2013-d102312a.87-3-AEO2013.1-1~ref2013-d102312a.88-3-AEO2013.1-1~ref2013-d102312a.89-3-AEO2013.1-1~ref2013-d102312a.90-3-AEO2013.1-1~ref2013-d102312a.95-3-AEO2013.1-1~ref2013-d102312a.96-3-AEO2013.1-1~ref2013-d102312a.97-3-AEO2013.1-1~ref2013-d102312a.98-3-AEO2013.1-1~ref2013-d102312a.99-3-AEO2013.1-1~ref2013-d102312a.100-3-AEO2013.1-1~ref2013-d102312a.101-3-AEO2013.1-1~ref2013-d102312a.102-3-AEO2013.1-1~ref2013-d102312a.105-3-AEO2013.1-1~ref2013-d102312a.106-3-AEO2013.1-1~ref2013-d102312a.107-3-AEO2013.1-1~ref2013-d102312a.108-3-AEO2013.1-1~ref2013-d102312a.112-3-AEO2013.1-1~ref2013-d102312a.113-3-AEO2013.1-1~ref2013-d102312a.114-3-AEO2013.1-1~ref2013-d102312a.115-3-AEO2013.1-1~ref2013-d102312a.116-3-AEO2013.1-1~ref2013-d102312a.117-3-AEO2013.1-1~ref2013-d102312a.118-3-AEO2013.1-1~ref2013-d102312a.119-3-AEO2013.1-1~ref2013-d102312a.120-3-AEO2013.1-1~ref2013-d102312a.121-3-AEO2013.1-1~ref2013-d102312a.122-3-AEO2013.1-1&map=ref2013-d102312a.3-3-AEO2013.1-1&sourcekey=0"
"Wed May 27 2026 16:36:25 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2011-2040)"
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Residential: Propane": Reference case,,"2011 $/mill Btu",31.772202,29.336699,27.740181,26.253603,25.704847,24.965,25.0718,25.894079,26.415726,26.906429,27.371759,27.703472,28.069134,28.388309,28.672001,28.937796,29.210663,29.437279,29.655783,29.852585,30.054193,30.241447,30.429844,30.641052,30.901779,31.181477,31.492773,31.811377,32.132862,32.409943,32.681763,"0.4%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,,"2011 $/mill Btu",21.671618,26.258018,26.433073,25.382751,24.801369,24.793068,25.163637,25.607267,25.952595,26.363569,26.738739,27.149164,27.553804,27.985865,28.424316,28.899313,29.329967,29.764637,30.215693,30.6612,31.06881,31.500126,31.923431,32.408279,32.915085,33.503868,34.075275,34.709572,35.133934,35.760769,36.329067,"1.1%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,,"2011 $/mill Btu",14.781536,13.749829,13.275833,13.334768,13.121632,12.948215,13.402052,13.710036,14.113783,14.324925,14.487809,14.622537,14.828464,15.006371,15.165295,15.286032,15.563174,15.648075,15.808321,15.961723,16.108686,16.30876,16.489443,16.697668,16.986361,17.294346,17.693991,17.98826,18.41008,18.607292,18.917871,"1.1%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,,"2011 $/mill Btu",48.760983,46.787319,53.424873,51.304005,50.831451,50.13398,49.881538,49.490185,48.664211,48.288834,47.753845,48.666294,48.196915,49.410763,49.295273,49.680599,49.929466,52.872822,53.051579,53.505608,53.673447,53.90963,54.142189,54.583992,52.449905,53.327423,55.043549,55.184696,55.022606,56.547157,55.535351,"0.6%"
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Commercial: Propane": Reference case,,"2011 $/mill Btu",23.299616,22.533434,20.856577,19.260658,18.686117,17.922932,18.034033,18.886709,19.434795,19.954853,20.452961,20.811131,21.207426,21.555637,21.866875,22.159906,22.461826,22.713808,22.957165,23.17709,23.402792,23.612835,23.824673,24.062557,24.356937,24.673948,25.028139,25.39225,25.761356,26.081062,26.396118,"0.5%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,,"2011 $/mill Btu",21.409037,25.942921,26.117975,25.085159,23.566668,23.628859,24.011511,24.49324,24.886576,25.341312,25.686104,26.165674,26.678726,27.078871,27.495029,27.950911,28.354578,28.756935,29.176044,29.58009,29.946838,30.336527,30.754431,31.248648,31.769968,32.367413,32.969406,33.585957,34.020393,34.637245,35.221081,"1.1%"
Residual Fuel,"Energy Prices: Commercial: Residual Fuel": Reference case,,"2011 $/mill Btu",11.238432,18.870762,19.81605,18.608183,13.878117,13.868257,14.163209,14.336354,14.799841,15.021825,15.416005,15.756611,16.112312,16.477465,16.872784,17.189899,17.618353,18.04755,18.501194,18.846708,19.356611,19.404293,20.02931,20.460285,20.75543,21.470358,21.930906,22.493759,22.777346,23.488861,23.99111,"0.8%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,,"2011 $/mill Btu",11.57989,10.728605,9.823797,10.255188,9.974397,9.816154,10.197927,10.426213,10.752819,10.895094,10.997006,11.067231,11.21144,11.32633,11.423717,11.481236,11.693796,11.711524,11.804751,11.890134,11.969632,12.102419,12.212009,12.35079,12.571649,12.813385,13.149915,13.381804,13.746793,13.888895,14.143449,"1.0%"
Electricity,"Energy Prices: Commercial: Electricity": Reference case,,"2011 $/mill Btu",44.24308,42.18737,40.445118,37.7682,36.794472,35.759274,35.840416,36.092823,36.075539,36.456898,35.905312,37.590057,37.056889,38.670483,37.805374,36.698616,35.030804,37.709713,37.633854,38.31741,38.907257,39.203033,39.552528,40.1959,36.265858,36.854641,38.932529,38.599079,38.429329,41.01049,39.161179,"-0.3%"
Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Industrial: Propane": Reference case,,"2011 $/mill Btu",28.201113,22.540236,20.774858,19.057604,18.455339,17.657621,17.771404,18.658838,19.229576,19.771776,20.291561,20.66819,21.085228,21.452068,21.780277,22.089533,22.408314,22.674553,22.931782,23.164389,23.40317,23.625536,23.849924,24.102043,24.414169,24.750528,25.12661,25.513491,25.905977,26.246164,26.581585,"0.6%"
