"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2013&region=1-0&cases=ref2013&start=2010&end=2040&f=A&linechart=&map=ref2013-d102312a.3-3-AEO2013.1-0&ctype=linechart&sourcekey=0"
"Thu May 14 2026 22:12:32 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2011-2040)"
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Residential: Propane": Reference case,,"2011 $/mill Btu",27.612459,25.058428,23.738859,22.450556,21.979362,21.346897,21.439425,22.144121,22.592026,23.013586,23.414288,23.700926,24.016268,24.291878,24.537081,24.766973,25.002792,25.19882,25.387453,25.557388,25.731236,25.892569,26.054863,26.236649,26.460897,26.701517,26.969297,27.243389,27.52002,27.758636,27.992889,"0.4%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,,"2011 $/mill Btu",21.767805,26.377192,26.551687,25.497663,24.958752,24.952997,25.323322,25.769102,26.118267,26.529963,26.907372,27.319225,27.725552,28.160551,28.599243,29.076273,29.508888,29.945833,30.397871,30.846634,31.261587,31.692879,32.117229,32.605598,33.118214,33.707634,34.289062,34.921669,35.350006,35.976215,36.544468,"1.1%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,,"2011 $/mill Btu",11.359373,10.802343,10.464381,10.477905,10.253485,10.15608,10.662778,10.990506,11.397518,11.624905,11.776243,11.960003,12.203179,12.432268,12.584531,12.674325,12.841908,12.933385,13.085579,13.234385,13.368998,13.547089,13.721807,13.935895,14.248931,14.598827,15.023703,15.415895,15.842275,16.055761,16.363073,"1.4%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,,"2011 $/mill Btu",34.522823,34.335876,33.266716,32.549408,33.007488,33.062363,33.578304,33.82626,33.834633,33.64259,33.615444,33.658813,33.69125,33.703487,33.83997,33.959377,34.126076,34.265705,34.413651,34.510967,34.561592,34.686401,34.807407,34.923721,35.082527,35.421288,35.835976,36.175976,36.5028,36.906086,37.098595,"0.3%"
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Commercial: Propane": Reference case,,"2011 $/mill Btu",24.100313,22.096798,20.436644,18.859144,18.291183,17.537018,17.647345,18.490999,19.033762,19.54903,20.042736,20.398029,20.791115,21.136614,21.445518,21.736389,22.036032,22.286156,22.527689,22.745983,22.969988,23.17849,23.388815,23.625029,23.917316,24.232109,24.583866,24.945492,25.312109,25.62969,25.942631,"0.6%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,,"2011 $/mill Btu",21.353447,25.86795,26.048237,24.99683,22.124001,22.196951,22.577513,23.064375,23.470146,23.915825,24.260496,24.734886,25.244362,25.644951,26.055372,26.509287,26.908531,27.310627,27.725616,28.132429,28.510727,28.89115,29.300985,29.792198,30.318123,30.91082,31.528339,32.132061,32.56266,33.16814,33.738365,"0.9%"
Residual Fuel,"Energy Prices: Commercial: Residual Fuel": Reference case,,"2011 $/mill Btu",11.386296,19.165131,20.13505,18.831156,13.287907,13.27267,13.566016,13.743748,14.205247,14.430344,14.823736,15.165405,15.521495,15.888635,16.286896,16.604527,17.032183,17.460558,17.912785,18.259159,18.767944,18.828409,19.447592,19.878651,20.17874,20.887989,21.348372,21.909113,22.20109,22.908306,23.411358,"0.7%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,,"2011 $/mill Btu",9.396975,8.836861,8.072796,8.462734,8.235262,8.104362,8.561039,8.824791,9.17228,9.350815,9.468021,9.610942,9.819182,10.011598,10.133018,10.193654,10.33554,10.388019,10.500005,10.605323,10.697221,10.832411,10.954602,11.11848,11.383407,11.681657,12.061093,12.401303,12.781521,12.948894,13.212922,"1.4%"
