"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2012&sourcekey=0"
"Thu May 14 2026 22:12:53 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Residential: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",24.836288,27.0177,29.288111,28.751743,29.625631,30.232981,30.697887,30.346624,30.580818,30.689737,30.862173,31.067625,31.318624,31.640005,31.87051,32.066677,32.2724,32.438339,32.605125,32.767662,33.031567,33.289745,33.548237,33.785511,34.015499,34.354038,34.644592,"1.0%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",18.3484,21.205135,26.347292,26.55438,24.984657,26.445801,27.261864,27.660591,28.072754,28.349957,28.52524,28.809464,29.075212,29.278503,29.500383,29.735003,30.147196,30.421974,30.509283,30.73765,31.061996,31.422638,32.098923,32.534195,32.0378,32.24295,32.730068,"1.8%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,,"2010 $/mill Btu",11.95177,11.079343,10.387133,10.515879,10.433628,10.125833,10.307207,10.350207,10.413845,10.534532,10.676512,10.838243,11.142444,11.476543,11.714048,11.855207,12.028221,12.195692,12.346848,12.46416,12.595837,12.760225,12.938324,13.137993,13.306672,13.659657,13.981231,"0.9%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,,"2010 $/mill Btu",34.011566,33.690052,34.057049,33.738724,34.200989,34.296886,34.590569,34.589378,34.320515,34.139355,33.844875,33.867962,33.839462,33.823387,33.925892,34.054352,34.076866,34.099964,34.112167,34.08017,34.074165,34.058182,34.134338,34.146839,34.082256,34.302143,34.581699,"0.1%"
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Commercial: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",21.755892,23.52014,22.971909,22.475931,26.31282,26.942951,27.418079,27.068747,27.303421,27.412197,27.582962,27.784693,28.031181,28.347841,28.573708,28.765594,28.967123,29.128944,29.291681,29.450554,29.710474,29.964907,30.219776,30.453682,30.67993,31.014429,31.300697,"1.1%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",16.156319,20.771002,25.803003,25.990742,21.667549,23.133472,23.975445,24.359406,24.764853,25.052994,25.218639,25.486101,25.75075,25.974649,26.209679,26.44305,26.861389,27.117792,27.143017,27.36919,27.681326,27.977526,28.609812,29.066076,28.615747,28.726999,29.180923,"1.4%"
Residual Fuel,"Energy Prices: Commercial: Residual Fuel": Reference case,,"2010 $/mill Btu",13.6612,11.066544,15.640459,15.853856,13.810163,15.169235,16.176447,16.711048,17.021507,17.206596,17.437504,17.600552,17.824913,17.737919,17.912813,18.081331,18.243769,18.385803,18.519096,18.702421,18.970858,19.04381,19.211533,18.450554,18.216232,18.482235,18.904448,"2.2%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,,"2010 $/mill Btu",9.817036,9.095199,8.604482,8.681152,8.643994,8.457176,8.601784,8.605496,8.637229,8.726002,8.842997,8.983588,9.255264,9.555241,9.762777,9.878078,10.02399,10.160494,10.281269,10.367477,10.469372,10.598266,10.740092,10.900986,11.035163,11.353848,11.641129,"1.0%"
