"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2014&region=1-0&cases=ref2014&start=2011&end=2040&f=A&linechart=&map=ref2014-d102413a.3-3-AEO2014.1-0&ctype=linechart&sourcekey=0"
"Thu May 14 2026 22:11:10 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Residential: Propane": Reference case,AEO.2014.REF2014.PRCE_ENE_RES_NA_PROP_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",25.275024,24.12236,23.385405,22.916176,22.407171,22.435553,22.968874,23.376265,23.622375,23.788927,24.060873,24.275873,24.435844,24.630699,24.864628,25.058645,25.253067,25.410381,25.58466,25.754745,25.923824,26.111845,26.322981,26.663843,26.842596,27.024534,27.15461,27.272226,27.446342,27.644514,"0.5%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,AEO.2014.REF2014.PRCE_ENE_RES_NA_DFO_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",26.928612,27.302296,27.033751,25.516628,24.458296,23.781683,23.519056,23.718847,24.206594,24.670744,25.144659,25.638069,26.084417,26.532114,26.945852,27.25555,27.69198,27.968311,28.320927,28.600487,28.935858,29.305979,29.739573,30.235941,30.570986,30.910103,31.23311,31.604744,32.108078,32.641392,"0.6%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,AEO.2014.REF2014.PRCE_ENE_RES_NA_NG_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",10.979644,10.458463,10.386789,11.197536,10.997512,10.684602,11.01057,11.455974,11.627092,11.591965,11.804651,11.896172,12.056949,12.305148,12.475469,12.579926,12.716394,12.897915,13.184209,13.502887,13.64997,13.712135,13.943461,14.339457,14.605688,14.994783,15.152347,15.279963,15.618371,15.977807,"1.5%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,AEO.2014.REF2014.PRCE_ENE_RES_NA_ELC_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",34.952885,34.831184,34.01598,34.409668,34.941753,35.163139,35.519157,35.913296,36.178234,36.146893,36.061802,35.804131,35.695621,36.040775,36.141415,36.246937,36.470741,36.579632,36.725307,36.981831,37.256237,37.335674,37.369007,37.567387,37.817902,38.082256,38.298912,38.369354,38.582218,38.83461,"0.4%"
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Commercial: Propane": Reference case,AEO.2014.REF2014.PRCE_ENE_CMM_NA_PROP_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",22.198494,20.751858,19.841772,19.26704,18.649208,18.682545,19.326157,19.821987,20.122929,20.326958,20.662735,20.929285,21.12818,21.37134,21.664516,21.908508,22.153873,22.352968,22.574203,22.790779,23.006721,23.247639,23.51914,23.914145,24.140072,24.369337,24.535734,24.69241,24.916641,25.173489,"0.7%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,AEO.2014.REF2014.PRCE_ENE_CMM_NA_DFO_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",26.432858,26.808514,26.541765,25.034723,21.224676,20.702496,20.581972,20.805613,21.32457,21.77491,22.262241,22.781151,23.188021,23.585976,24.007086,24.333675,24.761406,25.026228,25.368561,25.660076,26.000736,26.37311,26.758259,27.392273,27.691761,28.032812,28.337173,28.658245,29.162567,29.715168,"0.4%"
Residual Fuel,"Energy Prices: Commercial: Residual Fuel": Reference case,AEO.2014.REF2014.PRCE_ENE_CMM_NA_RFL_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",19.407326,22.839123,22.141212,21.372831,14.316883,13.851094,13.617367,13.733619,14.020779,14.399629,14.735601,15.266743,15.594571,15.861361,16.131041,16.576567,17.015467,17.148285,17.662416,17.918842,18.25087,18.573511,18.880272,19.195139,19.364729,19.607435,19.882309,20.137009,20.536459,20.991001,"-0.3%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,AEO.2014.REF2014.PRCE_ENE_CMM_NA_NG_NA_NA_Y12DLRPMMBTU.A,"2012 $/mill Btu",8.960835,8.112864,8.312053,9.086058,8.918551,8.723071,9.007258,9.409178,9.54647,9.490774,9.684969,9.758482,9.898753,10.12704,10.286922,10.380954,10.496882,10.657225,10.911016,11.192325,11.294316,11.292713,11.478383,11.747921,11.95343,12.26363,12.368286,12.459205,12.755896,13.077387,"1.7%"
